Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,Cmd_B1,Cmd_B2
0.5424,0.7070650458167338,0.00016971241252485605,9.1927556784297e-05,0.7071484877528916,0.0,0.0,0.0,0.0,-0.00032244228581226626,-0.7071647233954717,0.7070487573102233,6.929680703861426e-05,0.0,0.0,0.0,0.0
0.5625,0.7069624694605878,-9.75844362191261e-05,0.0003295242556384984,0.7072509799676704,0.0,0.0,0.0,0.0,-0.00016263325019877156,-0.7072269518146442,0.7069865374447851,0.00021920133722451378,0.0,0.0,0.0,0.0
0.5825,0.7069624694605878,-9.75844362191261e-05,0.0003295242556384984,0.7072509799676704,0.0,0.0,0.0,0.0,-0.00016263325019877156,-0.7072269518146442,0.7069865374447851,0.00021920133722451378,0.0,0.0,0.0,0.0
0.6026,0.7069624694605878,-9.75844362191261e-05,0.0003295242556384984,0.7072509799676704,0.0,0.0,0.0,0.0,-0.0003825470339669031,-0.7071640018382844,0.707049449861385,6.010443232382989e-05,0.0,0.0,0.0,0.0
0.6227,0.7070141304623396,-4.242823033981941e-06,0.00016547009832529607,0.70719940040149,0.0,0.0,0.0,0.0,-0.0003825470339669031,-0.7071640018382844,0.707049449861385,6.010443232382989e-05,0.0,0.0,0.0,0.0
0.6427,0.7070141304623396,-4.242823033981941e-06,0.00016547009832529607,0.70719940040149,0.0,0.0,0.0,0.0,-0.0003825470339669031,-0.7071640018382844,0.707049449861385,6.010443232382989e-05,0.0,0.0,0.0,0.0
0.6628,0.707054428142759,-1.1314194611053598e-05,0.00025456937874870683,0.7071590844429112,0.0,0.0,0.0,0.0,-0.00010182398382492092,-0.707167567664501,0.7070459445727101,0.00023051818560377901,0.0,0.0,0.0,0.0
0.6829,0.707054428142759,-1.1314194611053598e-05,0.00025456937874870683,0.7071590844429112,0.0,0.0,0.0,0.0,-0.00010182398382492092,-0.707167567664501,0.7070459445727101,0.00023051818560377901,0.0,0.0,0.0,0.0
0.7029,0.707054428142759,-1.1314194611053598e-05,0.00025456937874870683,0.7071590844429112,0.0,0.0,0.0,0.0,-0.0004921561031192536,-0.7071024526733244,0.7071109381233781,-1.9799383458822995e-05,0.0,0.0,0.0,0.0
0.723,0.7070063240947982,-0.00014072057324206107,0.00028780539351517013,0.7072071514455556,0.0,0.0,0.0,0.0,-0.0004921561031192536,-0.7071024526733244,0.7071109381233781,-1.9799383458822995e-05,0.0,0.0,0.0,0.0
0.7431,0.7070063240947982,-0.00014072057324206107,0.00028780539351517013,0.7072071514455556,0.0,0.0,0.0,0.0,-0.0004921561031192536,-0.7071024526733244,0.7071109381233781,-1.9799383458822995e-05,0.0,0.0,0.0,0.0
0.7631,0.7072043067715352,0.0003853897351656459,-1.6264153961118992e-05,0.7070091369240016,0.0,0.0,0.0,0.0,0.0001796060024263782,-0.7071710572540381,0.7070423631893074,0.00040022439910746227,0.0,0.0,0.0,0.0
0.7832,0.7072043067715352,0.0003853897351656459,-1.6264153961118992e-05,0.7070091369240016,0.0,0.0,0.0,0.0,0.0001796060024263782,-0.7071710572540381,0.7070423631893074,0.00040022439910746227,0.0,0.0,0.0,0.0
0.8032,0.7072043067715352,0.0003853897351656459,-1.6264153961118992e-05,0.7070091369240016,0.0,0.0,0.0,0.0,-0.0010415665785440868,-0.7069988472442551,0.7072138073527937,-0.00041931363277439233,0.0,0.0,0.0,0.0
0.8233,0.7068878710869396,-0.0007198710063287828,0.0007255281458677125,0.7073248851163219,0.0,0.0,0.0,0.0,-0.0010415665785440868,-0.7069988472442551,0.7072138073527937,-0.00041931363277439233,0.0,0.0,0.0,0.0
0.8434,0.7068878710869396,-0.0007198710063287828,0.0007255281458677125,0.7073248851163219,0.0,0.0,0.0,0.0,-0.0010415665785440868,-0.7069988472442551,0.7072138073527937,-0.00041931363277439233,0.0,0.0,0.0,0.0
0.8635,0.7068878710869396,-0.0007198710063287828,0.0007255281458677125,0.7073248851163219,0.0,0.0,0.0,0.0,0.0006710714804469266,-0.7072131699786243,0.7069996150923282,0.0007912844959115303,0.0,0.0,0.0,0.0
0.8836,0.7073630909160722,0.0008358398838993688,-0.0005006553619295712,0.7068497070279917,0.0,0.0,0.0,0.0,0.0006710714804469266,-0.7072131699786243,0.7069996150923282,0.0007912844959115303,0.0,0.0,0.0,0.0
0.9036,0.7073630909160722,0.0008358398838993688,-0.0005006553619295712,0.7068497070279917,0.0,0.0,0.0,0.0,-0.001243088711694691,-0.7069950375615196,0.7072170681960316,-0.000700032892251311,0.0,0.0,0.0,0.0
0.9238,0.706836088995338,-0.0008132095560346213,0.0008895805404274381,0.7073763429960426,0.0,0.0,0.0,0.0,-0.001243088711694691,-0.7069950375615196,0.7072170681960316,-0.000700032892251311,0.0,0.0,0.0,0.0
0.9438,0.706836088995338,-0.0008132095560346213,0.0008895805404274381,0.7073763429960426,0.0,0.0,0.0,0.0,-0.001243088711694691,-0.7069950375615196,0.7072170681960316,-0.000700032892251311,0.0,0.0,0.0,0.0
