timestamp_s,front_qr,front_qi,front_qj,front_qk,front_m1_rad,front_m2_rad,front_m1_cmd,front_m2_cmd,back_qr,back_qi,back_qj,back_qk,back_m1_rad,back_m2_rad,back_m1_cmd,back_m2_cmd
1.446,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-29.569999294358094,-5.06114035881853,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.569999294358094,-5.06114035881853
1.4661,0.139221,0.908142,0.35437,-0.174133,0.0,0.0,-29.83007456911832,-3.18851865304885,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.83007456911832,-3.18851865304885
1.4862,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-29.971702109686913,-1.3027174091832556,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.971702109686913,-1.3027174091832556
1.5062,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-29.994235905255714,0.5880582112928341,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.994235905255714,0.5880582112928341
1.5263,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-29.89764687644828,2.4760273122892325,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.89764687644828,2.4760273122892325
1.5464,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-29.682309697396896,4.354364595187015,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-29.682309697396896,4.354364595187015
1.5664,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-29.349102205706423,6.215319759996139,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-29.349102205706423,6.215319759996139
1.5865,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-28.899074885104103,8.052544367164037,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-28.899074885104103,8.052544367164037
1.6066,0.139282,0.908142,0.35437,-0.174133,0.0,0.0,-28.33446300679911,9.856886228233172,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-28.33446300679911,9.856886228233172
1.6266,0.139343,0.908142,0.35437,-0.174133,0.0,0.0,-27.657318097220422,11.622080522400614,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-27.657318097220422,11.622080522400614
1.6468,0.139343,0.908142,0.35437,-0.174133,0.0,0.0,-26.867850853007383,13.346107692527825,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-26.867850853007383,13.346107692527825
1.6668,0.139343,0.908142,0.35437,-0.174072,0.0,0.0,-25.97313754241388,15.013198400169452,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-25.97313754241388,15.013198400169452
1.6869,0.139343,0.908142,0.354431,-0.174072,0.0,0.0,-24.975602926002345,16.619845320659973,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-24.975602926002345,16.619845320659973
1.707,0.139343,0.908142,0.354431,-0.174072,0.0,0.0,-23.87912035149798,18.16005537542975,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-23.87912035149798,18.16005537542975
1.727,0.139343,0.908142,0.354431,-0.174072,0.0,0.0,-22.687826715663597,19.628105331896435,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-22.687826715663597,19.628105331896435
1.7471,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-21.40653854594891,21.01809000553579,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-21.40653854594891,21.01809000553579
1.7671,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-20.040181532583688,22.324675230360953,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-20.040181532583688,22.324675230360953
1.7872,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-18.593552860446486,23.54314745368134,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-18.593552860446486,23.54314745368134
1.8073,0.139404,0.908142,0.354431,-0.174072,0.0,0.0,-17.073755754800864,24.667526516158937,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-17.073755754800864,24.667526516158937
1.8273,0.139404,0.908142,0.354431,-0.174072,0.0,0.0,-15.486041178529277,25.694017370136876,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-15.486041178529277,25.694017370136876
1.8474,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-13.836761033690086,26.61849064271969,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-13.836761033690086,26.61849064271969
1.8675,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-12.132727154065469,27.43714511032448,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-12.132727154065469,27.43714511032448
1.8875,0.139404,0.908142,0.35437,-0.174072,0.0,0.0,-10.38049277393326,28.146853638911747,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-10.38049277393326,28.146853638911747
1.9076,0.139404,0.908081,0.354431,-0.174072,0.0,0.0,-8.586928519445307,28.74481968289133,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-8.586928519445307,28.74481968289133
1.9277,0.139404,0.908081,0.354431,-0.174011,0.0,0.0,-6.759391812451864,29.228592547807683,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-6.759391812451864,29.228592547807683
1.9477,0.139404,0.908142,0.354431,-0.174011,0.0,0.0,-4.904969024700172,29.59630515565637,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-4.904969024700172,29.59630515565637
1.9678,0.139404,0.908142,0.354431,-0.174011,0.0,0.0,-3.0310898898081446,29.846482105600032,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-3.0310898898081446,29.846482105600032
1.9881,0.139404,0.908142,0.354431,-0.174011,0.0,0.0,-1.1235503805139757,29.97895319290597,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-1.1235503805139757,29.97895319290597
2.0081,0.139404,0.908142,0.354431,-0.174011,0.0,0.0,0.7671015209826175,29.990190983995188,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,0.7671015209826175,29.990190983995188
2.0282,0.139465,0.908142,0.354431,-0.174011,0.0,0.0,2.654549912291802,29.882325290431325,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,2.654549912291802,29.882325290431325
